,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
12,Assen,Drenthe,Noord-Nederland          ,Assen                              ,52.983333333333334,6.55,68798,"52° 59′ NB, 6° 33′ OL"
29,Coevorden,Drenthe,Noord-Nederland          ,Coevorden                          ,52.65,6.733333333333333,35303,"52° 39′ NB, 6° 44′ OL"
64,Emmen,Drenthe,Noord-Nederland          ,Emmen                              ,52.78333333333333,6.9,56545,"52° 47′ NB, 6° 54′ OL"
98,Hoogeveen,Drenthe,Noord-Nederland          ,Hoogeveen                          ,52.71666666666667,6.466666666666667,40190,"52° 43′ NB, 6° 28′ OL"
115,Meppel,Drenthe,Noord-Nederland          ,Meppel                             ,52.7,6.183333333333334,34125,"52° 42′ NB, 6° 11′ OL"
227,Almere,Flevoland,Oost-Nederland           ,Almere                             ,52.36666666666667,5.216666666666667,213660,"52° 22′ NB, 5° 13′ OL"
231,Dronten,Flevoland,Oost-Nederland           ,Dronten                            ,52.516666666666666,5.716666666666667,41667,"52° 31′ NB, 5° 43′ OL"
232,Emmeloord,Flevoland,Oost-Nederland           ,Noordoostpolder                    ,52.71666666666667,5.75,26055,"52° 43′ NB, 5° 45′ OL"
236,Lelystad,Flevoland,Oost-Nederland           ,Lelystad                           ,52.5,5.466666666666667,79284,"52° 30′ NB, 5° 28′ OL"
244,Urk,Flevoland,Oost-Nederland           ,Urk                                ,52.65,5.6,21135,"52° 39′ NB, 5° 36′ OL"
245,Zeewolde,Flevoland,Oost-Nederland           ,Zeewolde                           ,52.333333333333336,5.533333333333333,22680,"52° 20′ NB, 5° 32′ OL"
311,Drachten,Friesland,Noord-Nederland          ,Smallingerland                     ,53.11666666666667,6.083333333333332,45170,"['53° 7′ NB, 6° 5′ OL']"
374,Heerenveen,Friesland,Noord-Nederland          ,Heerenveen                         ,52.95,5.933333333333334,29170,"['52° 57′ NB, 5° 56′ OL']"
443,Leeuwarden,Friesland,Noord-Nederland          ,Leeuwarden                         ,53.2,5.783333333333332,92760,"['53° 12′ NB, 05° 47′ OL']"
578,Sneek,Friesland,Noord-Nederland          ,Súdwest-Fryslân                    ,53.03333333333333,5.666666666666668,33285,"['53° 2′ NB, 5° 40′ OL']"
679,Apeldoorn,Gelderland,Oost-Nederland           ,Apeldoorn                          ,52.21666666666667,5.966666666666668,137085,"['52° 13′ NB, 5° 58′ OL']"
681,Arnhem,Gelderland,Oost-Nederland           ,Arnhem                             ,51.98333333333333,5.916666666666668,161961,"['51° 59′ NB, 5° 55′ OL']"
689,Barneveld,Gelderland,Oost-Nederland           ,Barneveld                          ,52.13333333333333,5.583333333333332,34300,"['52° 8′ NB, 5° 35′ OL']"
703,Beuningen ,Gelderland,Oost-Nederland           ,Beuningen                          ,51.85,5.75,26054,"51° 51′ NB, 5° 45′ OL"
717,Culemborg,Gelderland,Oost-Nederland           ,Culemborg                          ,51.95,5.233333333333333,29020,"['51° 57′ NB, 5° 14′ OL']"
727,Doetinchem,Gelderland,Oost-Nederland           ,Doetinchem                         ,51.96666666666667,6.283333333333332,45025,"['51° 58′ NB, 6° 17′ OL']"
735,Duiven,Gelderland,Oost-Nederland           ,Duiven                             ,51.95,6.0166666666666675,22205,"['51° 57′ NB, 6° 1′ OL']"
738,Ede,Gelderland,Oost-Nederland           ,Ede                                ,52.05,5.666666666666668,74280,"['52° 3′ NB, 5° 40′ OL']"
746,Elst,Gelderland,Oost-Nederland           ,Overbetuwe                         ,51.91666666666666,5.833333333333332,22160,"['51° 55′ NB, 5° 50′ OL']"
754,Ermelo,Gelderland,Oost-Nederland           ,Ermelo                             ,52.3,5.633333333333333,26858,"['52° 18′ NB, 5° 38′ OL']"
779,Harderwijk,Gelderland,Oost-Nederland           ,Harderwijk                         ,52.35,5.616666666666667,48623,"['52° 21′ NB, 5° 37′ OL']"
873,Nijkerk,Gelderland,Oost-Nederland           ,Nijkerk                            ,52.21666666666667,5.4833333333333325,29525,"['52° 13′ NB, 5° 29′ OL']"
875,Nijmegen,Gelderland,Oost-Nederland           ,Nijmegen                           ,51.83333333333334,5.866666666666667,176669,"['51° 50′ NB, 5° 52′ OL']"
877,Nunspeet,Gelderland,Oost-Nederland           ,Nunspeet                           ,52.38333333333333,5.783333333333332,20125,"['52° 23′ NB, 5° 47′ OL']"
896,Putten,Gelderland,Oost-Nederland           ,Putten                             ,52.25,5.616666666666667,24198,"['52° 15′ NB, 5° 37′ OL']"
928,Tiel,Gelderland,Oost-Nederland           ,Tiel                               ,51.88333333333333,5.433333333333334,41962,"['51° 53′ NB, 5° 26′ OL']"
959,Wageningen,Gelderland,Oost-Nederland           ,Wageningen                         ,51.96666666666667,5.666666666666668,39134,"['51° 58′ NB, 5° 40′ OL']"
972,Wijchen,Gelderland,Oost-Nederland           ,Wijchen                            ,51.8,5.716666666666668,36350,"['51° 48′ NB, 5° 43′ OL']"
976,Winterswijk,Gelderland,Oost-Nederland           ,Winterswijk                        ,51.96666666666667,6.716666666666668,23570,"['51° 58′ NB, 6° 43′ OL']"
987,Zaltbommel,Gelderland,Oost-Nederland           ,Zaltbommel                         ,51.81666666666667,5.25,29225,"['51° 49′ NB, 5° 15′ OL']"
993,Zevenaar,Gelderland,Oost-Nederland           ,Zevenaar                           ,51.93333333333333,6.066666666666666,25335,"['51° 56′ NB, 6° 4′ OL']"
998,Zutphen,Gelderland,Oost-Nederland           ,Zutphen                            ,52.15,6.2,39030,"['52° 9′ NB, 6° 12′ OL']"
1022,Delfzijl,Groningen,Noord-Nederland          ,Delfzijl                           ,53.33333333333334,6.916666666666668,24609,"['53° 20′ NB, 6° 55′ OL']"
1043,Groningen,Groningen,Noord-Nederland          ,Groningen                          ,53.21666666666667,6.566666666666666,202285,"['53° 13′ NB, 6° 34′ OL']"
1052,Hoogezand,Groningen,Noord-Nederland          ,Midden-Groningen                   ,53.15,6.75,21900,"['53° 9′ NB, 6° 45′ OL']"
1161,Veendam,Groningen,Noord-Nederland          ,Veendam                            ,53.1,6.866666666666667,21560,"['53° 6′ NB, 6° 52′ OL']"
1222,Brunssum,Limburg,Zuid-Nederland           ,Brunssum                           ,50.95,5.966666666666667,27709,"50°57'NB, 5°58'OL"
1242,Geleen,Limburg,Zuid-Nederland           ,Sittard-Geleen                     ,50.96666666666667,5.833333333333333,31625,"50° 58′ NB, 5° 50′ OL"
1256,Heerlen,Limburg,Zuid-Nederland           ,Heerlen                            ,50.88333333333333,5.983333333333333,86915,"50° 53′ NB, 5° 59′ OL"
1276,Kerkrade,Limburg,Zuid-Nederland           ,Kerkrade                           ,50.85,6.066666666666666,40230,"50° 51′ NB, 6° 4′ OL"
1282,Landgraaf,Limburg,Zuid-Nederland           ,Landgraaf                          ,50.908055555555556,6.03,37267,"50°54'29""NB, 6°1'48""OL"
1292,Maastricht,Limburg,Zuid-Nederland           ,Maastricht                         ,50.85,5.683333333333334,118636,"50° 51′ NB, 5° 41′ OL"
1336,Roermond,Limburg,Zuid-Nederland           ,Roermond                           ,51.2,6.0,41680,"51° 12′ NB, 5° 60′ OL"
1350,Sittard,Limburg,Zuid-Nederland           ,Sittard-Geleen                     ,51.0,5.866666666666667,37335,"50° 60′ NB, 5° 52′ OL"
1370,Venlo,Limburg,Zuid-Nederland           ,Venlo                              ,51.38333333333333,6.166666666666667,68205,"51° 23′ NB, 6° 10′ OL"
1371,Venray,Limburg,Zuid-Nederland           ,Venray                             ,51.53333333333333,5.966666666666667,28353,"51° 32′ NB, 5° 58′ OL"
1380,Weert,Limburg,Zuid-Nederland           ,Weert                              ,51.25,5.7,44650,"51° 15′ NB, 5° 42′ OL"
1403,Bergen op Zoom,Noord-Brabant,Zuid-Nederland           ,Bergen op Zoom                     ,51.5,4.3,52440,"51° 30′ NB, 4° 18′ OL"
1407,Best,Noord-Brabant,Zuid-Nederland           ,Best                               ,51.511111111111106,5.391944444444443,30073,"['51°30\'40""NB, 5°23\'31""OL']"
1415,Boxtel,Noord-Brabant,Zuid-Nederland           ,Boxtel                             ,51.58333333333334,5.333333333333333,25930,"['51° 35′ NB, 5° 20′ OL']"
1416,Breda,Noord-Brabant,Zuid-Nederland           ,Breda                              ,51.58333333333334,4.783333333333333,150520,"['51° 35′ NB, 4° 47′ OL']"
1426,Deurne,Noord-Brabant,Zuid-Nederland           ,Deurne                             ,51.46666666666667,5.8,24965,"['51° 28′ NB, 5° 48′ OL']"
1432,Dongen,Noord-Brabant,Zuid-Nederland           ,Dongen                             ,51.61666666666667,4.933333333333334,23765,"['51° 37′ NB, 4° 56′ OL']"
1442,Eindhoven,Noord-Brabant,Zuid-Nederland           ,Eindhoven                          ,51.43333333333333,5.466666666666668,233983,"['51° 26′ NB, 5° 28′ OL']"
1449,Etten-Leur,Noord-Brabant,Zuid-Nederland           ,Etten-Leur                         ,51.571111111111115,4.636111111111111,43896,"['51°34\'16""NB, 4°38\'10""OL']"
1456,Geldrop,Noord-Brabant,Zuid-Nederland           ,Geldrop-Mierlo                     ,51.41666666666666,5.55,28810,"['51° 25′ NB, 5° 33′ OL']"
1462,Goirle,Noord-Brabant,Zuid-Nederland           ,Goirle                             ,51.51666666666666,5.066666666666666,20895,"['51° 31′ NB, 5° 4′ OL']"
1484,Helmond,Noord-Brabant,Zuid-Nederland           ,Helmond                            ,51.48333333333333,5.65,92420,"['51° 29′ NB, 5° 39′ OL']"
1488,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland           ,'s-Hertogenbosch                   ,51.68333333333333,5.3,110790,"51° 41′ NB, 5° 18′ OL"
1556,Nuenen,Noord-Brabant,Zuid-Nederland           ,"Nuenen, Gerwen en Nederwetten      ",51.46666666666667,5.55,23186,"['51° 28′ NB, 5° 33′ OL']"
1566,Oosterhout,Noord-Brabant,Zuid-Nederland           ,Oosterhout                         ,51.63333333333333,4.883333333333333,50200,"['51° 38′ NB, 4° 53′ OL']"
1568,Oss,Noord-Brabant,Zuid-Nederland           ,Oss                                ,51.76666666666666,5.5166666666666675,58090,"['51° 46′ NB, 5° 31′ OL']"
1591,Roosendaal,Noord-Brabant,Zuid-Nederland           ,Roosendaal                         ,51.53333333333333,4.466666666666667,67055,"['51° 32′ NB, 4° 28′ OL']"
1592,Rosmalen,Noord-Brabant,Zuid-Nederland           ,'s-Hertogenbosch                   ,51.71666666666667,5.366666666666666,36320,"['51° 43′ NB, 5° 22′ OL']"
1597,Schijndel,Noord-Brabant,Zuid-Nederland           ,Meierijstad                        ,51.61666666666667,5.433333333333334,23760,"['51° 37′ NB, 5° 26′ OL']"
1620,Tilburg,Noord-Brabant,Zuid-Nederland           ,Tilburg                            ,51.55,5.083333333333333,197020,"['51° 33′ NB, 5° 5′ OL']"
1621,Uden,Noord-Brabant,Zuid-Nederland           ,Uden                               ,51.66666666666666,5.6,36315,"['51° 40′ NB, 5° 36′ OL']"
1627,Valkenswaard,Noord-Brabant,Zuid-Nederland           ,Valkenswaard                       ,51.35,5.466666666666668,30910,"['51° 21′ NB, 5° 28′ OL']"
1629,Veghel,Noord-Brabant,Zuid-Nederland           ,Meierijstad                        ,51.61666666666667,5.533333333333332,32015,"['51° 37′ NB, 5° 32′ OL']"
1630,Veldhoven,Noord-Brabant,Zuid-Nederland           ,Veldhoven                          ,51.4,5.4,45625,"['51° 24′ NB, 5° 24′ OL']"
1643,Vught,Noord-Brabant,Zuid-Nederland           ,Vught                              ,51.65,5.3,25615,"['51° 39′ NB, 5° 18′ OL']"
1645,Waalwijk,Noord-Brabant,Zuid-Nederland           ,Waalwijk                           ,51.68333333333333,5.066666666666666,33415,"['51° 41′ NB, 5° 4′ OL']"
1668,Aalsmeer,Noord-Holland,West-Nederland           ,Aalsmeer                           ,52.23333333333333,4.75,31927,"['52° 14′ NB, 4° 45′ OL']"
1675,Alkmaar,Noord-Holland,West-Nederland           ,Alkmaar                            ,52.61666666666667,4.75,89905,"['52° 37′ NB, 4° 45′ OL']"
1676,Amstelveen,Noord-Holland,West-Nederland           ,Amstelveen                         ,52.3,4.833333333333333,90705,"['52° 18′ NB, 4° 50′ OL']"
1677,Amsterdam,Noord-Holland,West-Nederland           ,Amsterdam                          ,52.36666666666667,4.9,869709,"['52° 22′ NB, 4° 54′ OL']"
1682,Assendelft,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.46666666666667,4.75,23915,"['52° 28′ NB, 4° 45′ OL']"
1691,Bergen ,Noord-Holland,West-Nederland           ,Bergen (NH.)                       ,52.666666666666664,4.7,29762,"52° 40′ NB, 4° 42′ OL"
1694,Beverwijk,Noord-Holland,West-Nederland           ,Beverwijk                          ,52.48333333333333,4.65,41754,"['52° 29′ NB, 4° 39′ OL']"
1696,Bloemendaal,Noord-Holland,West-Nederland           ,Bloemendaal                        ,52.4,4.616666666666667,23566,"52° 24′ NB, 4° 37′ OL"
1708,Bussum,Noord-Holland,West-Nederland           ,Gooise Meren                       ,52.26666666666666,5.166666666666667,33595,"['52° 16′ NB, 5° 10′ OL']"
